beta0,nu2,x_ini,logpost,chi2,Omega_V0,z_eq,z_t,f_TUO_zstar,delta_chi2
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
4.2129444525533695e-05,0.0281050108166315,0.031462607114266,-710.0598215820336,1390.2238172590733,0.6999079958776645,3259.839603574779,0.6704613553854117,1.4909691739946711e-05,3.1248211413621902
0.0003759847556057,0.0470577402585905,0.1506829600722282,-710.059853604629,1390.223881304264,0.6999079565849322,3259.839603574779,0.6704621799361505,0.000349230380968,3.1248851865530014
0.0005386307773776,0.0275379685325028,0.261590731614169,-710.0599261285805,1390.2240263521671,0.6999087567857264,3259.839603574779,0.6704640126090882,0.0009976348551842,3.1250302344560623
0.0005386307773776,0.0275379685325028,0.261590731614169,-710.0599261285805,1390.2240263521671,0.6999087567857264,3259.839603574779,0.6704640126090882,0.0009976348551842,3.1250302344560623
0.0005386307773776,0.0275379685325028,0.261590731614169,-710.0599261285805,1390.2240263521671,0.6999087567857264,3259.839603574779,0.6704640126090882,0.0009976348551842,3.1250302344560623
0.0005386307773776,0.0275379685325028,0.261590731614169,-710.0599261285805,1390.2240263521671,0.6999087567857264,3259.839603574779,0.6704640126090882,0.0009976348551842,3.1250302344560623
0.0005693400218438,0.037686182168015,0.30513176877104,-710.059958575859,1390.224091246724,0.6999090550336559,3259.839603574779,0.6704648038025883,0.001267487578542,3.125095129012834
0.0005693400218438,0.037686182168015,0.30513176877104,-710.059958575859,1390.224091246724,0.6999090550336559,3259.839603574779,0.6704648038025883,0.001267487578542,3.125095129012834
0.0013483168090569,0.0180314487275313,0.0803461699957445,-710.0600511716747,1390.2242764383554,0.6999098401488048,3259.839603574779,0.6704666775336371,9.804478080861252e-05,3.1252803206443787
0.0007987243198984,0.0230230512268165,0.3613654274911101,-710.0600730093264,1390.224320113659,0.6999103766109701,3259.839603574779,0.6704675953134562,0.0015590720892864,3.125323995947838
0.0014947442842743,0.0392694315156844,0.0857796217499368,-710.0601086082005,1390.224391311407,0.6999093470947788,3259.839603574779,0.6704679180070545,0.0001118866100585,3.125395193696022
0.0015713962621307,0.0314020952073646,0.090345852702773,-710.0601379970157,1390.2244500890374,0.6999098763067189,3259.839603574779,0.6704686240167268,0.0001242410595023,3.125453971326351
0.0015713962621307,0.0314020952073646,0.090345852702773,-710.0601379970157,1390.2244500890374,0.6999098763067189,3259.839603574779,0.6704686240167268,0.0001242410595023,3.125453971326351
0.0014892414265828,0.0394476936438252,0.1984699634430403,-710.0601969199323,1390.2245679348707,0.6999098735705555,3259.839603574779,0.6704703013159905,0.0006024291033487,3.1255718171596527
0.0014892414265828,0.0394476936438252,0.1984699634430403,-710.0601969199323,1390.2245679348707,0.6999098735705555,3259.839603574779,0.6704703013159905,0.0006024291033487,3.1255718171596527
0.0010430994157985,0.0162641281320216,0.4291559765585139,-710.0602135384523,1390.2246011719108,0.6999119482203001,3259.839603574779,0.6704709515748348,0.0018076800471691,3.1256050541996956
0.0010430994157985,0.0162641281320216,0.4291559765585139,-710.0602135384523,1390.2246011719108,0.6999119482203001,3259.839603574779,0.6704709515748348,0.0018076800471691,3.1256050541996956
0.0017791313679079,0.0489623699702824,0.0727436002194352,-710.0602201210403,1390.224614337087,0.69990944102297,3259.839603574779,0.670470346523576,8.023849514876082e-05,3.1256182193758377
