beta0,nu2,x_ini,logpost,chi2_total,chi2_sn,chi2_bao,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag,chain
0.0038758954582568637,0.033469527180147354,0.01043974539398972,-718.5050739663486,1407.1267029448866,1390.2274894192815,16.899213525605106,0.6999198371076049,3259.8690434431683,0.6704961919930322,1.647899015256106e-06,149.35679548477665,1020.8749338611531,1
0.0038758954582568637,0.033469527180147354,0.01043974539398972,-718.5050739663486,1407.1267029448866,1390.2274894192815,16.899213525605106,0.6999198371076049,3259.8690434431683,0.6704961919930322,1.647899015256106e-06,149.35679548477665,1020.8749338611531,1
0.013095850169252328,0.032058908838355056,0.029452067656514258,-718.7331704816589,1407.5828959755072,1390.2647509276867,17.318145047820494,0.7000467782081734,3259.8690434431683,0.6709109324881861,1.312354356078949e-05,149.34306229228181,1020.8749338611531,1
0.013095850169252328,0.032058908838355056,0.029452067656514258,-718.7331704816589,1407.5828959755072,1390.2647509276867,17.318145047820494,0.7000467782081734,3259.8690434431683,0.6709109324881861,1.312354356078949e-05,149.34306229228181,1020.8749338611531,1
0.015325806738486332,0.02625548458321086,0.02138242825463408,-718.7402456771587,1407.5970463665067,1390.2796097919345,17.31743657457222,0.700118372591728,3259.8690434431683,0.6710775347631227,6.912994596246812e-06,149.35048336424802,1020.8749338611531,1
0.015325806738486332,0.02625548458321086,0.02138242825463408,-718.7402456771587,1407.5970463665067,1390.2796097919345,17.31743657457222,0.700118372591728,3259.8690434431683,0.6710775347631227,6.912994596246812e-06,149.35048336424802,1020.8749338611531,1
0.015325806738486332,0.02625548458321086,0.02138242825463408,-718.7402456771587,1407.5970463665067,1390.2796097919345,17.31743657457222,0.700118372591728,3259.8690434431683,0.6710775347631227,6.912994596246812e-06,149.35048336424802,1020.8749338611531,1
0.015325806738486332,0.02625548458321086,0.02138242825463408,-718.7402456771587,1407.5970463665067,1390.2796097919345,17.31743657457222,0.700118372591728,3259.8690434431683,0.6710775347631227,6.912994596246812e-06,149.35048336424802,1020.8749338611531,1
0.021762646407302452,0.022402633012830388,0.02672031176495902,-718.988189179263,1408.0929333707154,1390.3362964466214,17.75663692409406,0.7003588154369974,3259.8690434431683,0.6717083751749428,1.0799357778456903e-05,149.34583641206407,1020.8749338611531,1
0.021762646407302452,0.022402633012830388,0.02672031176495902,-718.988189179263,1408.0929333707154,1390.3362964466214,17.75663692409406,0.7003588154369974,3259.8690434431683,0.6717083751749428,1.0799357778456903e-05,149.34583641206407,1020.8749338611531,1
0.01688604523309678,0.027042192764977775,0.05076388472563349,-719.0451582180539,1408.206871448297,1390.291753306985,17.915118141312103,0.7001596031262978,3259.8690434431683,0.6712125911488087,3.909523677065193e-05,149.31230681810248,1020.8749338611531,1
