beta0,nu2,x_ini,logpost,chi2_total,chi2_sn,chi2_bao,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag
0.014689396605970623,0.02287863027857162,0.13880031532820283,-721.2238214040366,1412.5641978202625,1390.275906920433,22.288290899829498,0.700113832268749,3259.8690434431683,0.6710406847593081,0.0002972184987022705,149.02567959720935,1020.8749338611531
0.011585763282718797,0.018786656606739307,0.13880202194783348,-721.1287064924635,1412.3739679971163,1390.256283968687,22.11768402842917,0.7000448986237551,3259.8690434431683,0.6708222537820661,0.00029722586644776084,149.02567178933057,1020.8749338611531
0.01633989002024977,0.018905670407765897,0.11222232074820909,-720.3375780850163,1410.791711182222,1390.2875695675611,20.504141614660753,0.7001772471407652,3259.8690434431683,0.6711716490509705,0.00019344709676038382,149.13742254545093,1020.8749338611531
0.018051885314872035,0.01658199637921627,0.08009645105540028,-719.5703089823598,1409.257172976909,1390.30106754601,18.956105430899036,0.7002468430373454,3259.8690434431683,0.6713227380995567,9.787285556804608e-05,149.24423708337397,1020.8749338611531
0.017994548226477322,0.014584193516204543,0.07641743583278511,-719.4931629797892,1409.1028809717677,1390.3004174530506,18.80246351871714,0.7002544181622251,3259.8690434431683,0.6713165836268545,8.90194513176704e-05,149.25436290498146,1020.8749338611531
0.01868061574878656,0.01020548045049171,0.07409654611514592,-719.4716145200086,1409.0597840522066,1390.3060538843274,18.75373016787926,0.7003044288495692,3259.8690434431683,0.6713824984135567,8.365413583747073e-05,149.26052040948565,1020.8749338611531
0.01868061574878656,0.01020548045049171,0.07409654611514592,-719.4716145200086,1409.0597840522066,1390.3060538843274,18.75373016787926,0.7003044288495692,3259.8690434431683,0.6713824984135567,8.365413583747073e-05,149.26052040948565,1020.8749338611531
0.01711221367717345,0.00972875178468719,0.08194652793377506,-719.5753411327242,1409.2672372776378,1390.2928504273295,18.97438685030836,0.7002431395347157,3259.8690434431683,0.6712348286545506,0.00010248673845301076,149.23897696936518,1020.8749338611531
0.020636917563062816,0.009408236418272528,0.05492776463547144,-719.2287633098523,1408.574081631894,1390.3239996954799,18.250081936414013,0.7003962489025952,3259.8690434431683,0.6715834334554429,4.580331117608982e-05,149.30443378814607,1020.8749338611531
0.025270868999132223,0.009911901147966405,0.07886339563359367,-719.8552225199944,1409.8270000521782,1390.3747446089983,19.452255443179762,0.7006353674270036,3259.8690434431683,0.6721488184638587,9.485789848474762e-05,149.2476805378472,1020.8749338611531
0.026765037702459877,0.01169435130469366,0.06919057388215033,-719.7426190314156,1409.6017930750206,1390.3934090957046,19.208383979316032,0.7007039604253267,3259.8690434431683,0.6723525501761923,7.287101077889633e-05,149.2729448866318,1020.8749338611531
0.02954873920900626,0.01117639515234659,0.09228583972598686,-720.4163931608438,1410.9493413338769,1390.431220419705,20.518120914172066,0.7008854533870981,3259.8690434431683,0.672770844767372,0.0001302704854996131,149.20753721733496,1020.8749338611531
0.03103350262932422,0.01983423685731895,0.09239102384468605,-720.5217348343103,1411.16002468081,1390.4545027539134,20.70552192689653,0.7008604347765789,3259.8690434431683,0.6730104048468362,0.00013057059087797577,149.20719976019365,1020.8749338611531
0.0339601022055789,0.01654644925955553,0.09008241599377675,-720.6669428482927,1411.4504407087745,1390.4999729767442,20.950467732030354,0.7011042384337064,3259.869043443168,0.6735109525627752,0.00012406471025561743,149.21452541418665,1020.8749338611531
0.03134020485077657,0.015449217149197605,0.06954597782761471,-720.0219614874032,1410.1604779869958,1390.4579134881496,19.702564498846165,0.7009428292930809,3259.8690434431683,0.6730541412555904,7.362675209920982e-05,149.27207193875734,1020.8749338611531
0.03134020485077657,0.015449217149197605,0.06954597782761471,-720.0219614874032,1410.1604779869958,1390.4579134881496,19.702564498846165,0.7009428292930809,3259.8690434431683,0.6730541412555904,7.362675209920982e-05,149.27207193875734,1020.8749338611531
0.03290580529488998,0.014093078048775083,0.042655302598825676,-719.7130806656179,1409.5427163434251,1390.481622569263,19.06109377416206,0.7010698011548551,3259.8690434431683,0.6733140653108018,2.7569876055340202e-05,149.32590057366698,1020.8749338611531
0.03290580529488998,0.014093078048775083,0.042655302598825676,-719.7130806656179,1409.5427163434251,1390.481622569263,19.06109377416206,0.7010698011548551,3259.8690434431683,0.6733140653108018,2.7569876055340202e-05,149.32590057366698,1020.8749338611531
