beta0,nu2,x_ini,h,omega_b,omega_c
0.016558879225659906,0.02155847959705508,0.037348562824504786,0.6696817219774074,0.022391736697499588,0.12069331572797835
0.014938343771354376,0.020025508971531075,0.03242804462346898,0.6699528525383448,0.022355707017214347,0.12091542943220773
0.014938343771354376,0.020025508971531075,0.03242804462346898,0.6699528525383448,0.022355707017214347,0.12091542943220773
0.004033741755895845,0.01981889116421994,0.05117206416801781,0.6726792376174484,0.022330460182058386,0.12125484132692455
-0.0008065669520117835,0.021265516014955636,0.07370419700806981,0.6725621723056925,0.022353233909445023,0.12032914970850285
-0.0008065669520117835,0.021265516014955636,0.07370419700806981,0.6725621723056925,0.022353233909445023,0.12032914970850285
-0.0008065669520117835,0.021265516014955636,0.07370419700806981,0.6725621723056925,0.022353233909445023,0.12032914970850285
0.00043329876308853413,0.02257202562885013,0.06753835654389592,0.673485778767193,0.022303135818206185,0.12045790469716432
0.00043329876308853413,0.02257202562885013,0.06753835654389592,0.673485778767193,0.022303135818206185,0.12045790469716432
0.006598013157947006,0.022217364620737805,0.08031705693283898,0.673718141887088,0.022220784297260383,0.12045519678425105
0.001486913659163978,0.01978480885412542,0.07261781471396771,0.6724439911645631,0.02223701151977392,0.12058285728701357
-0.00343187305026203,0.020667595101003286,0.067240562421865,0.669788735865484,0.02219257063418215,0.12028450060190697
-0.00343187305026203,0.020667595101003286,0.067240562421865,0.669788735865484,0.02219257063418215,0.12028450060190697
-0.003715370047351762,0.020523101080252175,0.059483813976006494,0.6710348794799152,0.022107947022606246,0.12101547836213185
-0.003715370047351762,0.020523101080252175,0.059483813976006494,0.6710348794799152,0.022107947022606246,0.12101547836213185
-0.003715370047351762,0.020523101080252175,0.059483813976006494,0.6710348794799152,0.022107947022606246,0.12101547836213185
0.004536146016149389,0.022440006593060988,0.04032639227813205,0.6720613200404669,0.02210990757011062,0.12084815883867404
0.004952123428079284,0.020873391882324524,0.022058899099955426,0.6739050406775894,0.02213461727878401,0.12089706703774665
0.004952123428079284,0.020873391882324524,0.022058899099955426,0.6739050406775894,0.02213461727878401,0.12089706703774665
0.009764378085671955,0.017470138830733038,0.012316180742235573,0.6710251893079763,0.022148302354489034,0.12092697492626456
0.009210133871273812,0.021382388663915015,0.01883050761957461,0.6717421165863672,0.022150998372306007,0.1209166866714311
0.015206064813014643,0.01958421774623026,0.01744710838897291,0.6731832979975052,0.022140360495995076,0.12081779878916976
0.015206064813014643,0.01958421774623026,0.01744710838897291,0.6731832979975052,0.022140360495995076,0.12081779878916976
0.018876324633199795,0.016652522239900686,0.013770178407716344,0.6742321406254911,0.02218127890419519,0.12105364442270801
0.02192650666492446,0.01784464776020882,0.012386636579989434,0.6782223503467513,0.022158552667945055,0.12172634305315612
0.02192650666492446,0.01784464776020882,0.012386636579989434,0.6782223503467513,0.022158552667945055,0.12172634305315612
0.02481299378777882,0.020987286522752502,0.02623430923268967,0.67660628215734,0.02213058814599066,0.12146448041588215
0.02481299378777882,0.020987286522752502,0.02623430923268967,0.67660628215734,0.02213058814599066,0.12146448041588215
0.015327867542566114,0.0210275740931227,0.045534307568010565,0.6775490267458532,0.022132638806593666,0.12165136842867295
0.015902819467642017,0.017608225557656974,0.044411700832755925,0.6781294757943355,0.022109291419262714,0.12061724458610457
0.015902819467642017,0.017608225557656974,0.044411700832755925,0.6781294757943355,0.022109291419262714,0.12061724458610457
0.015902819467642017,0.017608225557656974,0.044411700832755925,0.6781294757943355,0.022109291419262714,0.12061724458610457
0.02632547100674406,0.024545748355963647,0.051804190764505015,0.6819295316980715,0.022192188963500902,0.12045903309304816
0.01733284318694438,0.020623881732551575,0.06724071777189562,0.6807346158924936,0.02210112902543241,0.1199433063667933
0.01733284318694438,0.020623881732551575,0.06724071777189562,0.6807346158924936,0.02210112902543241,0.1199433063667933
0.028332171551687345,0.019467205338247858,0.07638686740879548,0.679499361068131,0.02211634355196245,0.12008961986965445
0.03659120483903315,0.01742257944167869,0.06594494607751177,0.6793873786504229,0.02216960726195092,0.12045830980173347
0.03113941580185369,0.018856424930922985,0.074335832879598,0.6786471125317338,0.0221059175897589,0.11996613377851298
0.027760213489254577,0.01749624892808769,0.06347818066691353,0.6780037212195568,0.02206193518550087,0.12046698355961216
0.029689065364788242,0.015267738917317558,0.060708919304905094,0.6762938729421624,0.022085148284501442,0.12023292397536864
0.019398531969030686,0.012961448899275994,0.07684388018919526,0.6769009105706406,0.022139477766724362,0.12023092528056704
0.019398531969030686,0.012961448899275994,0.07684388018919526,0.6769009105706406,0.022139477766724362,0.12023092528056704
0.015723862610278624,0.008416995587171397,0.06560437102624522,0.6789189965257216,0.02209399611593808,0.12038669089744218
0.013930759195548054,0.00788689958268509,0.06563758379829274,0.6782988792117838,0.02215037972366488,0.12053146281613601
0.013930759195548054,0.00788689958268509,0.06563758379829274,0.6782988792117838,0.02215037972366488,0.12053146281613601
0.013930759195548054,0.00788689958268509,0.06563758379829274,0.6782988792117838,0.02215037972366488,0.12053146281613601
0.017173481298442067,0.011587199296922453,0.06723497193011164,0.6775517765310712,0.022215115158788386,0.12045408185764273
0.01782830135302765,0.015551130470715435,0.06927286538276553,0.6758714474627657,0.022363248625585756,0.12045100899896426
0.012590167355757156,0.01382735734067819,0.07744080699640839,0.677281227287539,0.02233857634740416,0.12030704503907241
0.01036244345974834,0.009608850435924552,0.08654753943153584,0.6762670445415128,0.022370198335161805,0.11949848931186952
0.01036244345974834,0.009608850435924552,0.08654753943153584,0.6762670445415128,0.022370198335161805,0.11949848931186952
0.01036244345974834,0.009608850435924552,0.08654753943153584,0.6762670445415128,0.022370198335161805,0.11949848931186952
0.007602452915056294,0.010797500211981607,0.0881277202983011,0.6795258050143299,0.022358276736827415,0.11967968506408624
0.011738516635550797,0.010951337209833942,0.0884573648844251,0.6808112307426575,0.02237306973775608,0.11965346244003701
0.01566488195544529,0.011052248633760777,0.09861377897701597,0.6777024219616753,0.02237853437964244,0.11975815989195218
0.0067148840099648804,0.01688142278652473,0.0984092042524498,0.6782795542816782,0.02243057553209031,0.11995732460775539
0.0067148840099648804,0.01688142278652473,0.0984092042524498,0.6782795542816782,0.02243057553209031,0.11995732460775539
0.005247295469026677,0.014341867585596111,0.11235175313133944,0.682340030737593,0.022377740580418738,0.1194508053678846
