beta0,nu2,x_ini,h,omega_b,omega_c
0.03841553701884304,0.0252994902649273,0.06086616759001233,0.678781263436714,0.022537496216806115,0.12020508512626348
0.04204656448313057,0.02922683273895145,0.09540735547100684,0.6776027658803835,0.022532219465798052,0.12046572414156156
0.03828989359231386,0.03130177551727573,0.09124794219499717,0.6774774981555866,0.022423211446730908,0.12106497723715605
0.043333070451056215,0.030292049103433784,0.10688339771472374,0.6786747615727342,0.022370917504040577,0.1205404183255523
0.03871381475232942,0.02812157508387405,0.09942286493437998,0.6796764158997229,0.022384274803249525,0.1205643928007268
0.04817967476323012,0.03215553697982967,0.07713146326660264,0.6781347654622848,0.022348728160419443,0.12047382879405381
0.05168705381790871,0.029929887979757364,0.05059937445107822,0.6799498267416847,0.02235687990523931,0.1203704057382154
0.05168705381790871,0.029929887979757364,0.05059937445107822,0.6799498267416847,0.02235687990523931,0.1203704057382154
0.05168705381790871,0.029929887979757364,0.05059937445107822,0.6799498267416847,0.02235687990523931,0.1203704057382154
0.05168705381790871,0.029929887979757364,0.05059937445107822,0.6799498267416847,0.02235687990523931,0.1203704057382154
0.05168705381790871,0.029929887979757364,0.05059937445107822,0.6799498267416847,0.02235687990523931,0.1203704057382154
0.05168705381790871,0.029929887979757364,0.05059937445107822,0.6799498267416847,0.02235687990523931,0.1203704057382154
0.05168705381790871,0.029929887979757364,0.05059937445107822,0.6799498267416847,0.02235687990523931,0.1203704057382154
0.05225465178746296,0.029331170338523,0.04739967391027142,0.6820344183704127,0.02232429100264233,0.12065938386227418
0.04318516931297033,0.026296978958122257,0.03701107460941149,0.6819182053351219,0.02235499234489302,0.12074521385227979
0.04411030608101399,0.02271554612681306,0.05350239931707672,0.682381269766214,0.022353728463273055,0.12070326355491222
0.04383210102542667,0.02429535805428756,0.042050235751031784,0.6822225028123049,0.022341228053797766,0.12025809151230302
0.05082878134932701,0.021899415527504858,0.024090967759977128,0.683159718312894,0.022356628663301424,0.12017233069157866
0.05874082722747513,0.01997411173265826,0.02963185827775681,0.6825476948865835,0.022310879875386738,0.12031562321894677
0.06280503557475722,0.018750750675512975,0.034548053077692466,0.6821229635708081,0.022345141762104045,0.1209023061176623
0.06181409389954432,0.017569615309402428,0.04257512566425048,0.6828722885404709,0.022327581115765147,0.12070024694592092
0.06181409389954432,0.017569615309402428,0.04257512566425048,0.6828722885404709,0.022327581115765147,0.12070024694592092
0.05414355522281395,0.01709490721620106,0.032322578260933925,0.6847454349107531,0.022295024333256523,0.12070848507903359
0.05414355522281395,0.01709490721620106,0.032322578260933925,0.6847454349107531,0.022295024333256523,0.12070848507903359
0.05414355522281395,0.01709490721620106,0.032322578260933925,0.6847454349107531,0.022295024333256523,0.12070848507903359
0.0664812281382114,0.015398557836701247,0.032202325718336346,0.6841414711169733,0.022245125395558528,0.12060667682849238
0.0664812281382114,0.015398557836701247,0.032202325718336346,0.6841414711169733,0.022245125395558528,0.12060667682849238
0.06392068890654373,0.014002091831984687,0.030307666118446826,0.6831677798254764,0.022266182268670425,0.12041482505991402
0.0611866452595467,0.016882867458338755,0.01635156562856646,0.6818616463809914,0.022248122691038943,0.11957373032298949
