beta0,nu2,x_ini,h,omega_b,omega_c,logpost,chi2_total,chi2_sn,chi2_bao,chi2_prior,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag,Omega_b0,Omega_c0,Omega_r0
0.026150271447316964,0.009332290653585235,0.0896439055366018,0.6824731553682895,0.022358892151076105,0.1195704635097368,-701.9070029710076,1400.8086216105407,1389.4858494922519,11.322772118288835,3.0053843314745445,0.6960134155032238,3396.8933960221907,0.659942797429647,0.00012270445710601456,148.12547743663714,1020.6003275283376,0.04800418871631525,0.2567158988215988,8.967904557250374e-05
0.026150271447316964,0.009332290653585235,0.0896439055366018,0.6824731553682895,0.022358892151076105,0.1195704635097368,-701.9070029710076,1400.8086216105407,1389.4858494922519,11.322772118288835,3.0053843314745445,0.6960134155032238,3396.8933960221907,0.659942797429647,0.00012270445710601456,148.12547743663714,1020.6003275283376,0.04800418871631525,0.2567158988215988,8.967904557250374e-05
0.026150271447316964,0.009332290653585235,0.0896439055366018,0.6824731553682895,0.022358892151076105,0.1195704635097368,-701.9070029710076,1400.8086216105407,1389.4858494922519,11.322772118288835,3.0053843314745445,0.6960134155032238,3396.8933960221907,0.659942797429647,0.00012270445710601456,148.12547743663714,1020.6003275283376,0.04800418871631525,0.2567158988215988,8.967904557250374e-05
0.03189657380520988,0.011726488912945058,0.04527373055605447,0.6823795314056721,0.022361457716090185,0.1186237463662418,-702.580359101965,1401.0334839909551,1389.914722442627,11.11876154832812,4.12723421297491,0.6983017064013919,3374.291399857399,0.6659071052967334,3.113490339076998e-05,148.48944024537442,1020.5244131489341,0.048022871918313,0.25475320305784227,8.970365558264017e-05
0.030632261807934994,0.014485311955085515,0.07150391921664717,0.6817563280461737,0.022320261799416423,0.11858966976348649,-702.3758114325333,1400.8539754814424,1389.823529139161,11.030446342281163,3.897647383624222,0.6977832131107159,3372.4870920692697,0.6646747576867099,7.791846434414901e-05,148.4930451462084,1020.4265899220816,0.04802207578089441,0.2551458472750659,8.986772936787037e-05
0.030632261807934994,0.014485311955085515,0.07150391921664717,0.6817563280461737,0.022320261799416423,0.11858966976348649,-702.3758114325333,1400.8539754814424,1389.823529139161,11.030446342281163,3.897647383624222,0.6977832131107159,3372.4870920692697,0.6646747576867099,7.791846434414901e-05,148.4930451462084,1020.4265899220816,0.04802207578089441,0.2551458472750659,8.986772936787037e-05
0.031657581774072734,0.016166852971804438,0.004673404351102764,0.6799464070715231,0.02252565745701471,0.11920386286744167,-702.0545866610437,1401.1777650223212,1389.2366432473063,11.941121775014755,2.9314082997662543,0.6944502707541583,3392.1086134056613,0.6560056941584888,3.322416107843846e-07,148.1734684607165,1020.9510282549268,0.04872233674731383,0.25783446096040485,9.034679644404204e-05
0.031657581774072734,0.016166852971804438,0.004673404351102764,0.6799464070715231,0.02252565745701471,0.11920386286744167,-702.0545866610437,1401.1777650223212,1389.2366432473063,11.941121775014755,2.9314082997662543,0.6944502707541583,3392.1086134056613,0.6560056941584888,3.322416107843846e-07,148.1734684607165,1020.9510282549268,0.04872233674731383,0.25783446096040485,9.034679644404204e-05
0.031657581774072734,0.016166852971804438,0.004673404351102764,0.6799464070715231,0.02252565745701471,0.11920386286744167,-702.0545866610437,1401.1777650223212,1389.2366432473063,11.941121775014755,2.9314082997662543,0.6944502707541583,3392.1086134056613,0.6560056941584888,3.322416107843846e-07,148.1734684607165,1020.9510282549268,0.04872233674731383,0.25783446096040485,9.034679644404204e-05
0.031657581774072734,0.016166852971804438,0.004673404351102764,0.6799464070715231,0.02252565745701471,0.11920386286744167,-702.0545866610437,1401.1777650223212,1389.2366432473063,11.941121775014755,2.9314082997662543,0.6944502707541583,3392.1086134056613,0.6560056941584888,3.322416107843846e-07,148.1734684607165,1020.9510282549268,0.04872233674731383,0.25783446096040485,9.034679644404204e-05
0.031657581774072734,0.016166852971804438,0.004673404351102764,0.6799464070715231,0.02252565745701471,0.11920386286744167,-702.0545866610437,1401.1777650223212,1389.2366432473063,11.941121775014755,2.9314082997662543,0.6944502707541583,3392.1086134056613,0.6560056941584888,3.322416107843846e-07,148.1734684607165,1020.9510282549268,0.04872233674731383,0.25783446096040485,9.034679644404204e-05
