u_beta,u_nu,u_x,u_h,u_omega_b,u_omega_c
-1.709057280123125,-0.572860709467495,-2.6302161766141547,1.3815773445724853,-0.02520345819170533,0.013953629016545899
-1.9047289213509853,-0.5944154157504019,-2.5167296710626705,1.7581021853345102,0.4201458043584244,0.0048711488794849125
-1.7836749395191047,-0.20350713898511763,-2.3747695143711285,1.5841889035948244,0.38368019472743287,0.015298773105521062
-2.127035031917228,0.07235143155151125,-1.7955079675318464,1.4999447374103971,0.5045334299107227,0.5572553624887967
-2.0480964278094387,0.23090629110576627,-1.90993820142163,1.3094945841595127,0.4681298816637593,0.7124839932536432
-2.2894389440919687,0.3864231021459505,-2.0511517506151478,0.9204947116833646,0.4132028865645451,0.5427106197517477
-2.2894389440919687,0.3864231021459505,-2.0511517506151478,0.9204947116833646,0.4132028865645451,0.5427106197517477
-2.2894389440919687,0.3864231021459505,-2.0511517506151478,0.9204947116833646,0.4132028865645451,0.5427106197517477
-2.451010954900472,-5.486757338274417e-05,-2.053628641878987,1.1974903453193115,0.5449184441230055,0.6054946926320219
-2.7967442360006904,-0.16655181578768705,-2.4408177209210655,1.1953868402443093,0.6314519182324951,0.25201271409902887
-2.1364194681059927,0.16736322567614373,-2.8453175493827296,0.9506507585632393,0.45084467692381736,-0.03130577032677734
-2.2314093153945955,-0.001329085912878586,-2.6657454192927394,1.139283492816388,0.2877477681799506,-0.08208598814906212
-2.2314093153945955,-0.001329085912878586,-2.6657454192927394,1.139283492816388,0.2877477681799506,-0.08208598814906212
-2.2314093153945955,-0.001329085912878586,-2.6657454192927394,1.139283492816388,0.2877477681799506,-0.08208598814906212
-2.2700843718387778,0.08322334694231723,-2.5315351802548443,0.9672395701262364,0.36818597106950424,-0.2024307555203359
-2.8051339935440014,0.15888832204781445,-2.589675665099778,1.0697079816038066,0.6577712967939733,0.0009989954862475725
-2.140565826648565,-0.09399479767029278,-2.9079529179016212,1.159592698351428,0.672446288238003,0.03567361871623797
-1.9084621699269912,-0.04866618091697107,-2.9087250154347024,1.0962356417987915,0.6642454728861911,-0.07468418676794752
-1.7708918101837576,-0.2830465330342065,-2.745509541179285,0.9869080706973006,0.5960949161961815,-1.0748135514370607
-1.7708918101837576,-0.2830465330342065,-2.745509541179285,0.9869080706973006,0.5960949161961815,-1.0748135514370607
-1.7708918101837576,-0.2830465330342065,-2.745509541179285,0.9869080706973006,0.5960949161961815,-1.0748135514370607
-1.7708918101837576,-0.2830465330342065,-2.745509541179285,0.9869080706973006,0.5960949161961815,-1.0748135514370607
-1.8790421742413466,-0.2085628404246047,-2.8405892656853444,0.8957691175553183,0.6420151560878835,-1.3988251602680206
-1.8790421742413466,-0.2085628404246047,-2.8405892656853444,0.8957691175553183,0.6420151560878835,-1.3988251602680206
-1.6293080570281324,-0.23203254318416933,-2.9025996035436967,0.6299441166759716,0.6291716588223236,-1.14213363293357
-1.5947061008752492,-0.07445529200135348,-2.8529367543661066,0.9226467510415799,0.41319434680129097,-0.6508781510573793
-1.3814224988068875,0.03709749318231709,-2.7418728876995426,0.8109580357486742,0.5358236029083309,-0.5153169016794433
-1.0299015451372613,0.013797800535240747,-2.820427066478566,1.2513782033255259,0.706541867290394,-0.5862945607723962
-1.0998173473737802,0.13255645212816528,-3.031626626018906,1.3180143114850529,0.20446023359244714,-0.5631176021750456
-1.0998173473737802,0.13255645212816528,-3.031626626018906,1.3180143114850529,0.20446023359244714,-0.5631176021750456
-1.2889131272564613,0.14605897035396034,-2.7626026392665364,1.0213451335400086,-0.2027625611451765,-0.8167823787781232
-1.2889131272564613,0.14605897035396034,-2.7626026392665364,1.0213451335400086,-0.2027625611451765,-0.8167823787781232
-1.3538526420456467,-0.058560798711803475,-2.9646975922660457,0.8015550402571568,0.2626503326434252,-0.963959762352519
-1.4193004536463647,-0.2003605905261099,-2.731113629045797,0.9391100934911899,0.24286491389036274,-1.3560908028391103
-1.5913827195958534,0.07474442413330482,-2.123822474985934,0.30488158654413056,0.15793075653120656,-1.251793108502537
-1.968438454819272,-0.09872939517902216,-2.1372353269472777,0.2899985619430877,-0.1214301741208966,-1.3267856088607939
-2.117724512392632,-0.17743434731498037,-2.231891223275161,0.5818771969063719,0.21744869637880113,-1.5566299900948704
-2.558945574276593,-0.33119592500622175,-1.7837087420524125,0.4446375456126833,0.7283922045508929,-1.2392009922225702
-2.558945574276593,-0.33119592500622175,-1.7837087420524125,0.4446375456126833,0.7283922045508929,-1.2392009922225702
-2.328337098797173,-0.16008380252581136,-2.031401694826578,0.4355400063925703,0.5953285245760588,-1.5071416300130134
-2.4805232311058116,0.1330346814514294,-2.432751382660464,0.8035175392471161,0.3968568713251625,-1.4690370288278487
-2.111926470931026,0.22588293539765358,-2.4340879390613734,0.49597629254730136,0.417309893468719,-1.6103964664953088
-2.1576304666216735,-0.053427561271544965,-2.385351710800196,0.4307595595359743,0.28507736127137984,-1.8586933753860948
-2.1576304666216735,-0.053427561271544965,-2.385351710800196,0.4307595595359743,0.28507736127137984,-1.8586933753860948
-2.4032099898443047,0.1700812638999704,-2.415074513246607,0.2744336900449973,0.5026563332570309,-1.5972246631817242
-2.3792586161153144,0.4213915961328909,-2.5832485162874224,0.11077937043153743,0.386915622112573,-1.0405646590514506
-2.7228767489153576,0.564440820489138,-3.054188454089278,0.11524178879781598,0.32258069621706614,-0.40530465033709995
-2.7228767489153576,0.564440820489138,-3.054188454089278,0.11524178879781598,0.32258069621706614,-0.40530465033709995
-2.7228767489153576,0.564440820489138,-3.054188454089278,0.11524178879781598,0.32258069621706614,-0.40530465033709995
-2.778306622233089,0.40871857460779826,-3.0333183153092467,0.6626642940463786,0.25539656748756767,-0.005988905706190317
-2.470851392331163,0.3537503667672218,-3.444004375787344,0.8070038646264104,0.29142567872332303,0.011723491036412032
-2.9026719761827064,0.4760394419346963,-3.4901682670967435,0.8879049623774492,-0.16291546528767764,-0.06683825296862513
-2.8433956015434085,0.5992444596189545,-3.624598481947859,1.3583714468850696,-0.08979177103635118,0.038261774029620804
-2.8433956015434085,0.5992444596189545,-3.624598481947859,1.3583714468850696,-0.08979177103635118,0.038261774029620804
-3.260553335374848,0.7803826473797947,-3.9642746202077204,1.2934058651402578,0.7906730206362522,-0.13787407672697724
-3.175015311738181,0.766317889715223,-3.8109068253544716,1.4039622989414968,0.5960895274561179,0.19674498993528874
-3.175015311738181,0.766317889715223,-3.8109068253544716,1.4039622989414968,0.5960895274561179,0.19674498993528874
-3.175015311738181,0.766317889715223,-3.8109068253544716,1.4039622989414968,0.5960895274561179,0.19674498993528874
-3.005123201144121,0.31185769113148015,-3.9339838956146393,1.303818527137342,1.1339656337253357,0.1507015652752765
-2.869875396640181,0.11892399709079932,-4.105317993449378,1.361449469379711,0.9454460475342592,-0.05680544977541052
