beta0,nu2,x_ini,h,omega_b,omega_c,logpost,chi2_total,chi2_sn,chi2_bao,chi2_growth,chi2_prior,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag,sigma8_0_hat,Omega_b0,Omega_c0,Omega_r0
0.06257467404942574,0.05296385096842401,0.07622971867014344,0.6817858159003144,0.022313530019862655,0.12090893069190227,-704.3796388331216,1404.6305191245772,1389.6033058837056,12.255005800019521,2.7722074408520077,3.140202972615409,0.6939356799003927,3427.8507942755755,0.6600113843313697,8.853390242857189e-05,147.84893942298592,1020.6095566783015,0.8048327171312343,0.048003439693467154,0.2601132388153641,8.9859955814575e-05
0.06507378569025833,0.053363468296999526,0.08597734034467114,0.6825764829811672,0.022354465925192742,0.12063287608768587,-704.2691267595422,1404.7021315557765,1389.897482059896,11.995454993195398,2.8091945026850764,3.2311145110306514,0.6952748785800598,3422.2233784946884,0.6640050176251222,0.00011274938261033361,147.849615677524,1020.6804038615916,0.8053862727340789,0.04798015602258763,0.2589184745235976,8.96518966138952e-05
0.06507378569025833,0.053363468296999526,0.08597734034467114,0.6825764829811672,0.022354465925192742,0.12063287608768587,-704.2691267595422,1404.7021315557765,1389.897482059896,11.995454993195398,2.8091945026850764,3.2311145110306514,0.6952748785800598,3422.2233784946884,0.6640050176251222,0.00011274938261033361,147.849615677524,1020.6804038615916,0.8053862727340789,0.04798015602258763,0.2589184745235976,8.96518966138952e-05
0.06507378569025833,0.053363468296999526,0.08597734034467114,0.6825764829811672,0.022354465925192742,0.12063287608768587,-704.2691267595422,1404.7021315557765,1389.897482059896,11.995454993195398,2.8091945026850764,3.2311145110306514,0.6952748785800598,3422.2233784946884,0.6640050176251222,0.00011274938261033361,147.849615677524,1020.6804038615916,0.8053862727340789,0.04798015602258763,0.2589184745235976,8.96518966138952e-05
0.06507378569025833,0.053363468296999526,0.08597734034467114,0.6825764829811672,0.022354465925192742,0.12063287608768587,-704.2691267595422,1404.7021315557765,1389.897482059896,11.995454993195398,2.8091945026850764,3.2311145110306514,0.6952748785800598,3422.2233784946884,0.6640050176251222,0.00011274938261033361,147.849615677524,1020.6804038615916,0.8053862727340789,0.04798015602258763,0.2589184745235976,8.96518966138952e-05
0.06507378569025833,0.053363468296999526,0.08597734034467114,0.6825764829811672,0.022354465925192742,0.12063287608768587,-704.2691267595422,1404.7021315557765,1389.897482059896,11.995454993195398,2.8091945026850764,3.2311145110306514,0.6952748785800598,3422.2233784946884,0.6640050176251222,0.00011274938261033361,147.849615677524,1020.6804038615916,0.8053862727340789,0.04798015602258763,0.2589184745235976,8.96518966138952e-05
0.06507378569025833,0.053363468296999526,0.08597734034467114,0.6825764829811672,0.022354465925192742,0.12063287608768587,-704.2691267595422,1404.7021315557765,1389.897482059896,11.995454993195398,2.8091945026850764,3.2311145110306514,0.6952748785800598,3422.2233784946884,0.6640050176251222,0.00011274938261033361,147.849615677524,1020.6804038615916,0.8053862727340789,0.04798015602258763,0.2589184745235976,8.96518966138952e-05
0.06507378569025833,0.053363468296999526,0.08597734034467114,0.6825764829811672,0.022354465925192742,0.12063287608768587,-704.2691267595422,1404.7021315557765,1389.897482059896,11.995454993195398,2.8091945026850764,3.2311145110306514,0.6952748785800598,3422.2233784946884,0.6640050176251222,0.00011274938261033361,147.849615677524,1020.6804038615916,0.8053862727340789,0.04798015602258763,0.2589184745235976,8.96518966138952e-05
0.06507378569025833,0.053363468296999526,0.08597734034467114,0.6825764829811672,0.022354465925192742,0.12063287608768587,-704.2691267595422,1404.7021315557765,1389.897482059896,11.995454993195398,2.8091945026850764,3.2311145110306514,0.6952748785800598,3422.2233784946884,0.6640050176251222,0.00011274938261033361,147.849615677524,1020.6804038615916,0.8053862727340789,0.04798015602258763,0.2589184745235976,8.96518966138952e-05
0.0565626317556351,0.05280950178932447,0.05706730206129952,0.682759741268245,0.022503092133340407,0.11941000364678359,-704.1735009511765,1404.2039903568236,1390.1195200011134,11.237286118045695,2.847184237664485,4.0983231821186825,0.6971834226072487,3396.503698182813,0.6675184582846676,4.953433300503035e-05,148.08521945122826,1020.917121367275,0.806743646488954,0.04827323324812326,0.25615621728980437,8.96037764711446e-05
