beta0,nu2,x_ini,h,omega_b,omega_c
0.0016379581127869951,0.037593303485478555,0.030664284318987725,0.6765643081452207,0.022574160095864968,0.12247456657742815
0.0016379581127869951,0.037593303485478555,0.030664284318987725,0.6765643081452207,0.022574160095864968,0.12247456657742815
0.0016379581127869951,0.037593303485478555,0.030664284318987725,0.6765643081452207,0.022574160095864968,0.12247456657742815
0.00863943055287912,0.035406701612872384,0.05094010110064599,0.6771350539284771,0.022600207958003896,0.12110493617900679
0.0025435832597079542,0.030417912308154785,0.040651614633126554,0.6780299037113676,0.02248004269785771,0.1212592413108377
0.007375749541612705,0.03962295994198416,0.016122749486793236,0.6773270079429868,0.02242477305045835,0.12029738480736171
0.010606651160420491,0.030026308891548552,0.04114615764811774,0.6783448202998527,0.022336698385643845,0.12001450885616924
0.010606651160420491,0.030026308891548552,0.04114615764811774,0.6783448202998527,0.022336698385643845,0.12001450885616924
0.010606651160420491,0.030026308891548552,0.04114615764811774,0.6783448202998527,0.022336698385643845,0.12001450885616924
0.010606651160420491,0.030026308891548552,0.04114615764811774,0.6783448202998527,0.022336698385643845,0.12001450885616924
9.478124734382289e-05,0.03526682746163793,0.05376182028248802,0.6769393314220804,0.022310461145887323,0.11974471806906721
9.478124734382289e-05,0.03526682746163793,0.05376182028248802,0.6769393314220804,0.022310461145887323,0.11974471806906721
0.00679953282204254,0.04362210278183405,0.03637000418715279,0.6808895769455624,0.02246669423927285,0.11997407539825623
0.00679953282204254,0.04362210278183405,0.03637000418715279,0.6808895769455624,0.02246669423927285,0.11997407539825623
0.00679953282204254,0.04362210278183405,0.03637000418715279,0.6808895769455624,0.02246669423927285,0.11997407539825623
0.00679953282204254,0.04362210278183405,0.03637000418715279,0.6808895769455624,0.02246669423927285,0.11997407539825623
0.00679953282204254,0.04362210278183405,0.03637000418715279,0.6808895769455624,0.02246669423927285,0.11997407539825623
0.00679953282204254,0.04362210278183405,0.03637000418715279,0.6808895769455624,0.02246669423927285,0.11997407539825623
0.0223362247823998,0.04909613467443144,0.012248617587528151,0.680760683105788,0.02249036632761755,0.12052007260587955
0.03267029827223758,0.05088857334006327,0.044971728333086505,0.6831012225746772,0.02238247796672985,0.12100821204881537
0.031324739444295195,0.04989362582164685,0.05603509919042754,0.6845927402409658,0.022365320493962417,0.12038431383379171
0.031324739444295195,0.04989362582164685,0.05603509919042754,0.6845927402409658,0.022365320493962417,0.12038431383379171
0.026487920438882796,0.048655888974873183,0.07057292842990641,0.6866076665863283,0.02247419350161935,0.11909621292260424
0.0223254976451824,0.05411905213523444,0.04338968043081483,0.6842628635117219,0.022565147057529336,0.12063663920369565
0.0223254976451824,0.05411905213523444,0.04338968043081483,0.6842628635117219,0.022565147057529336,0.12063663920369565
0.0223254976451824,0.05411905213523444,0.04338968043081483,0.6842628635117219,0.022565147057529336,0.12063663920369565
0.03360425064560897,0.046219232578881025,0.04134663732598555,0.683859043147352,0.02230522790141033,0.12047594513460903
0.03360425064560897,0.046219232578881025,0.04134663732598555,0.683859043147352,0.02230522790141033,0.12047594513460903
0.03360425064560897,0.046219232578881025,0.04134663732598555,0.683859043147352,0.02230522790141033,0.12047594513460903
0.024341092431841085,0.04037434273878883,0.011040747246109595,0.6797328647041923,0.022278654702406638,0.11995893121299245
0.024341092431841085,0.04037434273878883,0.011040747246109595,0.6797328647041923,0.022278654702406638,0.11995893121299245
0.024341092431841085,0.04037434273878883,0.011040747246109595,0.6797328647041923,0.022278654702406638,0.11995893121299245
0.02829891709301103,0.05247868924702005,0.02163348978746881,0.6814888571109473,0.022362655133597895,0.11999358297000108
0.02829891709301103,0.05247868924702005,0.02163348978746881,0.6814888571109473,0.022362655133597895,0.11999358297000108
0.02829891709301103,0.05247868924702005,0.02163348978746881,0.6814888571109473,0.022362655133597895,0.11999358297000108
0.02829891709301103,0.05247868924702005,0.02163348978746881,0.6814888571109473,0.022362655133597895,0.11999358297000108
0.02829891709301103,0.05247868924702005,0.02163348978746881,0.6814888571109473,0.022362655133597895,0.11999358297000108
0.02829891709301103,0.05247868924702005,0.02163348978746881,0.6814888571109473,0.022362655133597895,0.11999358297000108
0.02829891709301103,0.05247868924702005,0.02163348978746881,0.6814888571109473,0.022362655133597895,0.11999358297000108
0.02829891709301103,0.05247868924702005,0.02163348978746881,0.6814888571109473,0.022362655133597895,0.11999358297000108
0.02829891709301103,0.05247868924702005,0.02163348978746881,0.6814888571109473,0.022362655133597895,0.11999358297000108
0.034352983073883486,0.056872918524669955,0.017390105818881705,0.6837115673938039,0.02237053362896471,0.11954526424753713
0.034352983073883486,0.056872918524669955,0.017390105818881705,0.6837115673938039,0.02237053362896471,0.11954526424753713
0.034352983073883486,0.056872918524669955,0.017390105818881705,0.6837115673938039,0.02237053362896471,0.11954526424753713
0.034352983073883486,0.056872918524669955,0.017390105818881705,0.6837115673938039,0.02237053362896471,0.11954526424753713
0.034352983073883486,0.056872918524669955,0.017390105818881705,0.6837115673938039,0.02237053362896471,0.11954526424753713
0.034352983073883486,0.056872918524669955,0.017390105818881705,0.6837115673938039,0.02237053362896471,0.11954526424753713
0.02476603539344408,0.03848659735711604,0.05419493905609635,0.6840810248960246,0.02240262456175809,0.11970765387204838
0.027265762758141035,0.042497315812037945,0.04013531158185028,0.680742246081005,0.02266658638377905,0.11923768071429072
0.023793034377820207,0.04232870238854758,0.03627653064222071,0.6811481974540433,0.022578408769579363,0.11906282619665538
0.018905361027747834,0.049553591086774054,0.002172553589839442,0.6815387770665904,0.022530692319450624,0.11870813034308947
0.018905361027747834,0.049553591086774054,0.002172553589839442,0.6815387770665904,0.022530692319450624,0.11870813034308947
0.00625809824774933,0.035591435796711854,0.014872289088912966,0.6834041864837763,0.02236293197420383,0.11975994829030832
0.01226809754813768,0.05618611498892548,0.07880051707038466,0.6816974387784301,0.022414763699504927,0.12156991114832968
0.01226809754813768,0.05618611498892548,0.07880051707038466,0.6816974387784301,0.022414763699504927,0.12156991114832968
0.015049829146788719,0.052156391067522324,0.04674789426830725,0.682513120634133,0.02262153633500859,0.1206032597045761
0.015049829146788719,0.052156391067522324,0.04674789426830725,0.682513120634133,0.02262153633500859,0.1206032597045761
0.015049829146788719,0.052156391067522324,0.04674789426830725,0.682513120634133,0.02262153633500859,0.1206032597045761
0.018667114680605414,0.05756683279030634,0.04439321369542738,0.682591736586918,0.022465420405700064,0.11965086026608204
0.029474899675150372,0.048989490015804056,0.055489742869668374,0.6835982072802043,0.022227214286677708,0.1202797320615776
0.029474899675150372,0.048989490015804056,0.055489742869668374,0.6835982072802043,0.022227214286677708,0.1202797320615776
0.029474899675150372,0.048989490015804056,0.055489742869668374,0.6835982072802043,0.022227214286677708,0.1202797320615776
0.029474899675150372,0.048989490015804056,0.055489742869668374,0.6835982072802043,0.022227214286677708,0.1202797320615776
