beta0,nu2,x_ini,logpost,chi2_total,chi2_sn,chi2_bao,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag,chain,delta_chi2
9.122798711280484e-05,0.0460864558364536,0.0010233358130356,-718.4794701046749,1407.075495221539,1390.223919056356,16.85157616518321,0.6999080043668473,3259.8690434431683,0.6704563472196113,1.712494997503809e-08,149.3587544691105,1020.8749338611532,2,0.0422198680450947
0.0013482009702053,0.0402593058947579,0.0036314770144962,-718.4824564805158,1407.081467973221,1390.224351234734,16.857116738486766,0.6999092505851994,3259.8690434431683,0.6704611535506598,2.0051139413238282e-07,149.35853408137135,1020.8749338611532,3,0.04819261972693312
0.0013482009702053,0.0402593058947579,0.0036314770144962,-718.4824564805158,1407.081467973221,1390.224351234734,16.857116738486766,0.6999092505851994,3259.8690434431683,0.6704611535506598,2.0051139413238282e-07,149.35853408137135,1020.8749338611532,3,0.04819261972693312
0.0021277665439704,0.057920165119986,0.0005577989727611,-718.4833628462009,1407.083280704591,1390.225008353591,16.8582723510001,0.6999099997769037,3259.8690434431683,0.6704683482715175,6.006433280081115e-09,149.3587678317367,1020.8749338611532,4,0.05000535109707016
0.0021277665439704,0.057920165119986,0.0005577989727611,-718.4833628462009,1407.083280704591,1390.225008353591,16.8582723510001,0.6999099997769037,3259.8690434431683,0.6704683482715175,6.006433280081115e-09,149.3587678317367,1020.8749338611532,4,0.05000535109707016
0.0021277665439704,0.057920165119986,0.0005577989727611,-718.4833628462009,1407.083280704591,1390.225008353591,16.8582723510001,0.6999099997769037,3259.8690434431683,0.6704683482715175,6.006433280081115e-09,149.3587678317367,1020.8749338611532,4,0.05000535109707016
0.0017920703509564,0.0058679001669716,0.0039652664467927,-718.4839070453977,1407.0843691029847,1390.2246636748314,16.859705428153283,0.6999118565628071,3259.8690434431683,0.6704648145217544,2.3881549123444296e-07,149.35848805175883,1020.8749338611532,5,0.05109374949074663
0.0017920703509564,0.0058679001669716,0.0039652664467927,-718.4839070453977,1407.0843691029847,1390.2246636748314,16.859705428153283,0.6999118565628071,3259.8690434431683,0.6704648145217544,2.3881549123444296e-07,149.35848805175883,1020.8749338611532,5,0.05109374949074663
0.0017920703509564,0.0058679001669716,0.0039652664467927,-718.4839070453977,1407.0843691029847,1390.2246636748314,16.859705428153283,0.6999118565628071,3259.8690434431683,0.6704648145217544,2.3881549123444296e-07,149.35848805175883,1020.8749338611532,5,0.05109374949074663
0.0017920703509564,0.0058679001669716,0.0039652664467927,-718.4839070453977,1407.0843691029847,1390.2246636748314,16.859705428153283,0.6999118565628071,3259.8690434431683,0.6704648145217544,2.3881549123444296e-07,149.35848805175883,1020.8749338611532,5,0.05109374949074663
