beta0,nu2,x_ini,h,omega_b,omega_c,logpost,chi2_total,chi2_sn,chi2_bao,chi2_prior,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag,Omega_b0,Omega_c0,Omega_r0,delta_chi2
0.0105623370884531,0.0214188833571795,0.1380367310355488,0.6797146380502892,0.022051543566594,0.1182222883280618,-704.3464540965986,1400.6846894025343,1389.5602521076798,11.124437294854388,8.008218790662905,0.6964097581652751,3357.2583657299087,0.6612672987905157,0.0002924382694659,148.67525900449692,1019.771747734498,0.0477293751743108,0.2558857585880623,9.040841982950514e-05,-0.5335932496561782
0.0105623370884531,0.0214188833571795,0.1380367310355488,0.6797146380502892,0.022051543566594,0.1182222883280618,-704.3464540965986,1400.6846894025343,1389.5602521076798,11.124437294854388,8.008218790662905,0.6964097581652751,3357.2583657299087,0.6612672987905157,0.0002924382694659,148.67525900449692,1019.771747734498,0.0477293751743108,0.2558857585880623,9.040841982950514e-05,-0.5335932496561782
0.0089265582590674,0.0403385853100398,0.0973437875833983,0.6805311582715264,0.0223432971735774,0.1179719986437043,-702.6407089733796,1400.6873822834182,1389.6687677279117,11.01861455550666,4.594035663340877,0.6969903070326027,3358.252042282876,0.6628474302589114,0.0001449613075247,148.56240913423574,1020.42549202271,0.0482448803089379,0.2547316499510358,9.019160090435434e-05,-0.5309003687723362
0.0089265582590674,0.0403385853100398,0.0973437875833983,0.6805311582715264,0.0223432971735774,0.1179719986437043,-702.6407089733796,1400.6873822834182,1389.6687677279117,11.01861455550666,4.594035663340877,0.6969903070326027,3358.252042282876,0.6628474302589114,0.0001449613075247,148.56240913423574,1020.42549202271,0.0482448803089379,0.2547316499510358,9.019160090435434e-05,-0.5309003687723362
0.0089265582590674,0.0403385853100398,0.0973437875833983,0.6805311582715264,0.0223432971735774,0.1179719986437043,-702.6407089733796,1400.6873822834182,1389.6687677279117,11.01861455550666,4.594035663340877,0.6969903070326027,3358.252042282876,0.6628474302589114,0.0001449613075247,148.56240913423574,1020.42549202271,0.0482448803089379,0.2547316499510358,9.019160090435434e-05,-0.5309003687723362
0.0089265582590674,0.0403385853100398,0.0973437875833983,0.6805311582715264,0.0223432971735774,0.1179719986437043,-702.6407089733796,1400.6873822834182,1389.6687677279117,11.01861455550666,4.594035663340877,0.6969903070326027,3358.252042282876,0.6628474302589114,0.0001449613075247,148.56240913423574,1020.42549202271,0.0482448803089379,0.2547316499510358,9.019160090435434e-05,-0.5309003687723362
0.0089265582590674,0.0403385853100398,0.0973437875833983,0.6805311582715264,0.0223432971735774,0.1179719986437043,-702.6407089733796,1400.6873822834182,1389.6687677279117,11.01861455550666,4.594035663340877,0.6969903070326027,3358.252042282876,0.6628474302589114,0.0001449613075247,148.56240913423574,1020.42549202271,0.0482448803089379,0.2547316499510358,9.019160090435434e-05,-0.5309003687723362
0.0089265582590674,0.0403385853100398,0.0973437875833983,0.6805311582715264,0.0223432971735774,0.1179719986437043,-702.6407089733796,1400.6873822834182,1389.6687677279117,11.01861455550666,4.594035663340877,0.6969903070326027,3358.252042282876,0.6628474302589114,0.0001449613075247,148.56240913423574,1020.42549202271,0.0482448803089379,0.2547316499510358,9.019160090435434e-05,-0.5309003687723362
0.0089265582590674,0.0403385853100398,0.0973437875833983,0.6805311582715264,0.0223432971735774,0.1179719986437043,-702.6407089733796,1400.6873822834182,1389.6687677279117,11.01861455550666,4.594035663340877,0.6969903070326027,3358.252042282876,0.6628474302589114,0.0001449613075247,148.56240913423574,1020.42549202271,0.0482448803089379,0.2547316499510358,9.019160090435434e-05,-0.5309003687723362
0.0089265582590674,0.0403385853100398,0.0973437875833983,0.6805311582715264,0.0223432971735774,0.1179719986437043,-702.6407089733796,1400.6873822834182,1389.6687677279117,11.01861455550666,4.594035663340877,0.6969903070326027,3358.252042282876,0.6628474302589114,0.0001449613075247,148.56240913423574,1020.42549202271,0.0482448803089379,0.2547316499510358,9.019160090435434e-05,-0.5309003687723362
0.0192293857631967,0.0249159526673651,0.0390989828276344,0.6806515376546141,0.0224670940004202,0.1183742850426759,-702.3662954501593,1400.7085027754376,1389.5455120429397,11.162990732498072,4.02408812488091,0.6962570909765375,3370.848888053542,0.6609370499290722,2.320623146950288e-05,148.44458340168666,1020.7452447365284,0.0484950311275768,0.255509886491856,9.015970132409009e-05,-0.509779876752873
0.0192293857631967,0.0249159526673651,0.0390989828276344,0.6806515376546141,0.0224670940004202,0.1183742850426759,-702.3662954501593,1400.7085027754376,1389.5455120429397,11.162990732498072,4.02408812488091,0.6962570909765375,3370.848888053542,0.6609370499290722,2.320623146950288e-05,148.44458340168666,1020.7452447365284,0.0484950311275768,0.255509886491856,9.015970132409009e-05,-0.509779876752873
