beta0,nu2,x_ini,logpost,chi2_total,chi2_sn,chi2_bao,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag
0.016762977996944966,0.018674098621313143,0.21491987415220964,-725.5877709384106,1421.2920968890105,1390.2931046560407,30.99899223296987,0.7002021595449115,3259.8690434431683,0.6712379091045554,0.0007036551264876027,148.60813374795003,1020.8749338611531
0.016762977996944966,0.018674098621313143,0.21491987415220964,-725.5877709384106,1421.2920968890105,1390.2931046560407,30.99899223296987,0.7002021595449115,3259.8690434431683,0.6712379091045554,0.0007036551264876027,148.60813374795003,1020.8749338611531
0.017433368523002125,0.01848549774380051,0.21431178394740336,-725.5781357715094,1421.2728265552082,1390.2986239790916,30.974202576116642,0.700226474874144,3259.8690434431683,0.6712998062601884,0.0006999135539147624,148.61195009204087,1020.8749338611531
0.017433368523002125,0.01848549774380051,0.21431178394740336,-725.5781357715094,1421.2728265552082,1390.2986239790916,30.974202576116642,0.700226474874144,3259.8690434431683,0.6712998062601884,0.0006999135539147624,148.61195009204087,1020.8749338611531
0.017433368523002125,0.01848549774380051,0.21431178394740336,-725.5781357715094,1421.2728265552082,1390.2986239790916,30.974202576116642,0.700226474874144,3259.8690434431683,0.6712998062601884,0.0006999135539147624,148.61195009204087,1020.8749338611531
0.02063847288544274,0.019193199573812384,0.20326681506849756,-724.9772174594714,1420.070989931132,1390.3278254717588,29.743164459373357,0.7003451759723763,3259.8690434431683,0.6716246938557785,0.0006329673756086145,148.68008300066248,1020.8749338611531
0.019430125588345074,0.022378023672286713,0.21175825066379036,-725.5054005433367,1421.1273560988627,1390.3166293352842,30.810726763578543,0.7002791294741865,3259.8690434431683,0.6714982686959484,0.0006842614368032011,148.62790293928555,1020.8749338611531
0.02437073156051741,0.02542753222099225,0.19430843702103476,-724.6251206429016,1419.3667962979926,1390.368841201067,28.997955096925672,0.7004569666896636,3259.8690434431683,0.672072410426028,0.0005802763989486585,148.7336234719448,1020.8749338611531
0.024222158934953022,0.026316215480916453,0.18806522922426175,-724.2159070736262,1418.5483691594418,1390.3669432997704,28.181425859671357,0.7004413814360148,3259.8690434431683,0.6720502270550789,0.000544530135525899,148.76997641366094,1020.8749338611531
0.030391633083688547,0.02387531299987196,0.1486293594166821,-722.5150139802256,1415.1465829726403,1390.4471866041422,24.69939636849819,0.700770741123445,3259.869043443168,0.6729278437150921,0.00034111191608316886,148.9794301403309,1020.8749338611531
0.030391633083688547,0.02387531299987196,0.1486293594166821,-722.5150139802256,1415.1465829726403,1390.4471866041422,24.69939636849819,0.700770741123445,3259.869043443168,0.6729278437150921,0.00034111191608316886,148.9794301403309,1020.8749338611531
0.020729538202897142,0.029619844508875347,0.12225518584415747,-720.8491083772618,1411.814771766713,1390.3274019733071,21.48736979340587,0.7002718482311491,3259.8690434431683,0.6716081177605632,0.00023001742917542413,149.09760679292654,1020.8749338611531
0.02145642792562437,0.028689490276409605,0.12506933949905868,-720.9835173859752,1412.0835897841398,1390.3347781524062,21.748811631733545,0.7003043670063652,3259.8690434431683,0.6716902869335805,0.00024084555816080588,149.08591441473854,1020.8749338611531
0.02145642792562437,0.028689490276409605,0.12506933949905868,-720.9835173859752,1412.0835897841398,1390.3347781524062,21.748811631733545,0.7003043670063652,3259.8690434431683,0.6716902869335805,0.00024084555816080588,149.08591441473854,1020.8749338611531
0.02145642792562437,0.028689490276409605,0.12506933949905868,-720.9835173859752,1412.0835897841398,1390.3347781524062,21.748811631733545,0.7003043670063652,3259.8690434431683,0.6716902869335805,0.00024084555816080588,149.08591441473854,1020.8749338611531
0.019398873528595994,0.027669953033788268,0.12608853776519022,-720.9242778348917,1411.9651106819726,1390.3144691884518,21.6506414935209,0.7002379475165148,3259.8690434431683,0.6714666083692388,0.0002448284740249589,149.08162411610704,1020.8749338611531
0.019398873528595994,0.027669953033788268,0.12608853776519022,-720.9242778348917,1411.9651106819726,1390.3144691884518,21.6506414935209,0.7002379475165148,3259.8690434431683,0.6714666083692388,0.0002448284740249589,149.08162411610704,1020.8749338611531
0.01838811683730394,0.029121555911421525,0.17625870019503465,-723.1741159546505,1416.4647869214903,1390.3064589202404,26.158328001249938,0.7002012894660119,3259.8690434431683,0.6713793274850505,0.0004793705368294514,148.83645394405636,1020.8749338611531
0.01697550526659286,0.027960428673241285,0.13364606509835936,-721.1056115352256,1412.3277780826406,1390.2934222370386,22.034355845602086,0.70015991116151,3259.8690434431683,0.6712332897368712,0.000275373559861109,149.0489005306971,1020.8749338611531
0.019737131548569795,0.029087784084891124,0.10696194907530528,-720.3125850250983,1410.741725062386,1390.3174366131425,20.424288449243466,0.7002403516292574,3259.8690434431683,0.6714977640221647,0.0001755485148155806,149.15710612714616,1020.8749338611531
0.021021554993884736,0.031169043486679676,0.08250468234443119,-719.7414126328142,1409.5993802778178,1390.3298660442233,19.26951423359438,0.7002707724531162,3259.8690434431683,0.6716325870331005,0.0001038999929633429,149.23736805372135,1020.8749338611531
0.02261056675239867,0.03528564482846954,0.0737180645427821,-719.6314493818934,1409.3794537759761,1390.3468426540494,19.03261112192675,0.7002965993015139,3259.8690434431683,0.671815725996774,8.27952852511794e-05,149.2615075668984,1020.8749338611531
